* CA C N H 0 40 2
PHE HD2 CD2 CE2 HE2 0 40 2
PHE CD1 CE1 CZ CE2 0 40 2
PHE CD1 CE1 CZ HZ 3.141592654 40 2
PHE HE1 CE1 CZ CE2 -3.141592654 40 2
PHE HE1 CE1 CZ HZ 0 40 2
PHE CD2 CE2 CZ CE1 0 40 2
PHE CD2 CE2 CZ HZ -3.141592654 40 2
PHE HE2 CE2 CZ CE1 3.141592654 40 2
PHE HE2 CE2 CZ HZ 0 40 2
THR CA CB CG2 1HG2 -3.141592654 20 3
THR CA CB CG2 2HG2 -1.047197551 20 3
THR CA CB CG2 3HG2 1.047197551 20 3
THR OG1 CB CG2 1HG2 1.047197551 20 3
THR OG1 CB CG2 2HG2 3.141592654 20 3
THR OG1 CB CG2 3HG2 -1.047197551 20 3
THR HB CB CG2 1HG2 -1.047197551 20 3
THR HB CB CG2 2HG2 1.047197551 20 3
THR HB CB CG2 3HG2 -3.141592654 20 3
TRP CB CG CD1 NE1 -3.141592654 40 2
TRP CB CG CD1 HD1 0 40 2
TRP CD2 CG CD1 NE1 0 40 2
TRP CD2 CG CD1 HD1 -3.141592654 40 2
TRP CB CG CD2 CE2 -3.141592654 40 2
TRP CB CG CD2 CE3 0 40 2
TRP CD1 CG CD2 CE2 0.00E+00 40 2
TRP CD1 CG CD2 CE3 3.141592654 40 2
TRP CG CD1 NE1 CE2 0 40 2
TRP CG CD1 NE1 HE1 3.141592654 40 2
TRP HD1 CD1 NE1 CE2 3.141592654 40 2
TRP HD1 CD1 NE1 HE1 0 40 2
TRP CG CD2 CE2 NE1 0 40 2
TRP CG CD2 CE2 CZ2 -3.141592654 40 2
TRP CE3 CD2 CE2 NE1 3.141592654 40 2
TRP CE3 CD2 CE2 CZ2 0 40 2
TRP CG CD2 CE3 CZ3 -3.141592654 40 2
TRP CG CD2 CE3 HE3 0 40 2
TRP CE2 CD2 CE3 CZ3 0 40 2
TRP CE2 CD2 CE3 HE3 3.141592654 40 2
TRP CD1 NE1 CE2 CD2 0 40 2
TRP CD1 NE1 CE2 CZ2 3.141592654 40 2
TRP HE1 NE1 CE2 CD2 -3.141592654 40 2
TRP HE1 NE1 CE2 CZ2 0.00E+00 40 2
TRP CD2 CE2 CZ2 CH2 0 40 2
TRP CD2 CE2 CZ2 HZ2 3.141592654 40 2
TRP NE1 CE2 CZ2 CH2 -3.141592654 40 2
TRP NE1 CE2 CZ2 HZ2 0 40 2
TRP CD2 CE3 CZ3 CH2 0 40 2
TRP CD2 CE3 CZ3 HZ3 -3.141592654 40 2
TRP HE3 CE3 CZ3 CH2 -3.141592654 40 2
TRP HE3 CE3 CZ3 HZ3 0 40 2
TRP CE2 CZ2 CH2 CZ3 0 40 2
TRP CE2 CZ2 CH2 HH2 -3.141592654 40 2
TRP HZ2 CZ2 CH2 CZ3 -3.141592654 40 2
TRP HZ2 CZ2 CH2 HH2 0 40 2
TRP CE3 CZ3 CH2 CZ2 0 40 2
TRP CE3 CZ3 CH2 HH2 3.141592654 40 2
TRP HZ3 CZ3 CH2 CZ2 3.141592654 40 2
TRP HZ3 CZ3 CH2 HH2 0 40 2
TYR CB CG CD1 CE1 -3.141592654 40 2
TYR CB CG CD1 HD1 0 40 2
TYR CD2 CG CD1 CE1 0 40 2
