1,poly_AHdist_h_dOH_2,,hbgd_AHdist,1.18531233884,2.55780630272,1.1,1.1,1.423950222922,2.106552757850,6,0.606676178048,-6.494965549977,24.742571892953,-38.572471907257,18.581334412698,3.465072188992,,,,,
2,poly_AHdist_k_4,,hbgd_AHdist,0.899970788236,2.79965323571,1.1,1.1,1.432818181216,3.427799307222,6,-0.228485462765,1.291614441870,-1.224565166203,-2.753477558502,3.153960624083,0.671898966205,,,,,
3,poly_AHdist_k_5,,hbgd_AHdist,0.972410396146,2.87206695337,1.1,1.1,1.505256780303,3.500227674069,6,-0.228485462765,1.374355242765,-1.610733221184,-2.445889970835,3.531539916767,0.429554928724,,,,,
4,poly_AHdist_k_dOH_2,,hbgd_AHdist,0.732989764028,2.63263753534,1.1,1.1,1.265835805958,3.260803227280,6,-0.228485462765,1.100829080461,-0.425489029744,-3.161495321643,2.155017435914,1.117123641291,,,,,
5,poly_AHdist_l_dOH_3,,hbgd_AHdist,0.693463210904,2.47127711246,1.1,1.1,1.390203370138,1183.067553797629,8,0.000646427437,-0.770140219394,6.374010725274,-20.751056090056,35.049949269778,-33.304236250397,15.599006234796,-1.527867418050,,,
6,poly_AHdist_w_1p96,,hbgd_AHdist,1.33799021287,3.01813704416,1.1,1.1,1.221812673844,,10,3.54621195,-66.42028931,546.93932612,-2601.81265353,7893.43436166,-15875.82200198,21229.35460087,-18252.23753330,9171.61829637,-2050.65597464,
7,poly_AHdist_ae_dOH_4,,hbgd_AHdist,1.10168110371,2.52115160262,1.1,1.1,1.349332295687,2.039454344614,10,-1.64593590,37.36288919,-338.78275177,1666.99561560,-4980.01079170,9427.81542508,-11328.52209412,8319.42990573,-3378.64433399,577.25708679,
8,poly_AHdist_ah_dOH_1,,hbgd_AHdist,1.28033492397,2.24659960774,1.1,1.1,1.48126299,1.95092143,10,6.72508613,-86.98495585,454.18518444,-1119.89141452,715.62466300,3172.36852982,-9455.49113097,11797.38766934,-7363.28302948,1885.50119665,
9,hbpoly_ahdist_aASN_dARG_9gt3_hesmooth_min1p6,,hbgd_AHdist,0.701909476193,2.86820307153,1.1,1.1,0.19648603,2.40797870,10,0.58376113,-9.29345473,64.86270904,-260.39467110,661.43138077,-1098.01378958,1183.58371466,-790.82929582,291.33125475,-43.01629727,
10,hbpoly_ahdist_aASN_dASN_9gt3_hesmooth_min1p6,,hbgd_AHdist,0.625841094801,2.75107708444,1.1,1.1,1.27938613,2.32767062,10,-1.31243015,18.67450720,-112.63858313,373.32878091,-734.99145504,861.38324861,-556.21026097,143.56269770,20.03238394,-11.52167705,
11,hbpoly_ahdist_aASN_dGLY_9gt3_hesmooth_min1p6,,hbgd_AHdist,0.747734104714,2.67963507828,1.1,1.1,1.31062601,2.29202826,10,-1.61294554,23.31507930,-144.11313069,496.13575000,-1037.83809166,1348.76826073,-1065.14368678,473.89008925,-100.41142701,7.44453515,
12,hbpoly_ahdist_aASN_dHIS_9gt3_hesmooth_min1p6,,hbgd_AHdist,0.344789524346,2.8303582266,1.1,1.1,0.26116274,2.33600821,10,-0.26571220,4.10737750,-26.90996320,97.10486507,-209.96002602,277.33057268,-218.74766996,97.42852213,-24.07382402,3.73962807,
13,hbpoly_ahdist_aASN_dLYS_9gt3_hesmooth_min1p6,,hbgd_AHdist,0.542905671869,2.45259389314,1.1,1.1,1.35686951,2.15520283,10,1.38531754,-18.48733797,106.14444613,-344.70585054,698.91577956,-917.08794020,775.32787908,-403.09588787,113.65054778,-11.66516403,
14,hbpoly_ahdist_aASN_dSER_9gt3_hesmooth_min1p6,,hbgd_AHdist,1.08127746025,2.68321235826,1.1,1.1,1.30976518,2.17377358,10,-3.51524353,47.54032873,-254.40168577,617.84606386,-255.49935027,-2361.56230539,6426.85797934,-7760.44038910,4694.08106855,-1149.83549068,
15,hbpoly_ahdist_aASN_dTRP_9gt3_hesmooth_min1p6,,hbgd_AHdist,0.6689985,3.0704254,1.1,1.1,1.29461414,2.56601597,10,-0.5284840422,8.3510150838,-56.4100479414,212.4884326254,-488.3178610608,703.7762350506,-628.9936994634,331.4294356146,-93.265817571,11.9691623698,
16,hbpoly_ahdist_aASN_dTYR_9gt3_hesmooth_min1p6,,hbgd_AHdist,1.08950268805,2.68870467094,1.1,1.1,1.31836516,2.17260272,10,-4.44887050,63.27696281,-371.44187037,1121.71921621,-1638.11394306,142.99988401,3436.65879147,-5496.07011787,3709.30505237,-962.79669688,
17,hbpoly_ahdist_aASP_dARG_9gt3_hesmooth_min1p6,,hbgd_AHdist,0.810040464223,2.98512301248,1.1,1.1,1.48544834,2.55076481,10,-0.66430344,10.41343145,-70.12656205,265.12578414,-617.05849171,911.39378582,-847.25013928,472.09090981,-141.71513167,18.57721132,
18,hbpoly_ahdist_aASP_dASN_9gt3_hesmooth_min1p6,,hbgd_AHdist,1.05401125073,3.11129675908,1.1,1.1,1.50153443,2.43822636,10,0.02090728,-0.24144928,-0.19578075,16.80904547,-117.70216251,407.18551288,-809.95195924,939.83137947,-593.94527692,159.57610528,
19,hbpoly_ahdist_aASP_dGLY_9gt3_hesmooth_min1p6,,hbgd_AHdist,0.886260952629,2.66843608743,1.1,1.1,1.13629813,2.29236233,10,-7.00699267,107.33021779,-713.45752385,2694.43092298,-6353.05100287,9667.94098394,-9461.92610270,5721.00868770,-1933.97818198,279.47763789,
