NAME FACTS_RADIUS    FACTS_CUT FACTS_ALPHA FACTS_ALPHA2 FACTS_ALPHA3 FACTS_B1    FACTS_B2     FACTS_D1     FACTS_D2     FACTS_A0      FACTS_A1     FACTS_A2     FACTS_A3     FACTS_C0    FACTS_C1      FACTS_C2    FACTS_C3     FACTS_AMIN FACTS_AMAX FACTS_BMIN FACTS_BMAX
Oaro      1.7000     0.854745e+1    0.025         0.010       0.010 -0.220010e+3 -0.966769e+0 -0.193196e+4 -0.166026e+1 -0.968233e+2  0.961271e+2  0.235122e-2  0.666119e+3  0.650084e+2 -0.650064e+2  0.245596e-2 -0.135370e+4      0.000      0.000    0.00000    0.00000
S         2.0000     0.881363e+1    0.025         0.010       0.010  0.147227e+3 -0.811304e+0 -0.811741e+4 -0.217625e+1 -0.858924e+2  0.858904e+2  0.196363e-2  0.900140e+3  0.168481e+3 -0.168287e+3  0.113765e-2 -0.672543e+4    593.129   1474.870    0.06734    0.56385
Nbb       1.8500     0.852379e+1    0.025         0.010       0.010 -0.289292e+3 -0.697267e+0 -0.193388e+4 -0.156243e+1 -0.932613e+2  0.932593e+2  0.202205e-2  0.715165e+3  0.746559e+2 -0.746539e+2  0.268963e-2 -0.128236e+4    805.454   1394.930    0.04978    0.30084
CAbb      2.2750     0.952518e+1    0.025         0.010       0.010  0.746028e+3 -0.130263e+1 -0.639876e+3 -0.199623e+1 -0.735409e+2  0.731524e+2  0.182580e-2  0.121299e+4  0.178300e+3 -0.178298e+3  0.302069e-2 -0.103577e+4    921.366   1867.440    0.03293    0.34235
CObb      2.0000     0.881363e+1    0.025         0.010       0.010  0.147227e+3 -0.811304e+0 -0.811741e+4 -0.217625e+1 -0.858924e+2  0.858904e+2  0.196363e-2  0.900140e+3  0.168481e+3 -0.168287e+3  0.113765e-2 -0.672543e+4    829.472   1518.180    0.03957    0.30885
OCbb      1.7000     0.854745e+1    0.025         0.010       0.010 -0.220010e+3 -0.966769e+0 -0.193196e+4 -0.166026e+1 -0.968233e+2  0.961271e+2  0.235122e-2  0.666119e+3  0.650084e+2 -0.650064e+2  0.245596e-2 -0.135370e+4    661.388   1394.400    0.08396    0.60071
Phos      2.1750     0.891107e+1    0.025         0.010       0.010  0.620536e+2 -0.943820e+0 -0.211060e+5 -0.454142e+0 -0.754147e+2  0.754127e+2  0.224894e-2  0.979966e+3  0.130754e+3 -0.130750e+3  0.326802e-3 -0.152890e+5      0.000      0.000    0.00000    0.00000
Hpol      0.2245     0.714752e+1    0.025         0.010       0.010 -0.210603e+3 -0.199137e+1 -0.448975e+4 -0.977422e+1 -0.150967e+3  0.127403e+3  0.510164e-2 -0.478652e+2  0.331627e+2 -0.331607e+2  0.276020e-1 -0.719487e+4    168.106    763.150    0.11769    0.87261
Hapo      1.3200     0.820532e+1    0.025         0.010       0.005  0.495330e+2 -0.138532e+1 -0.191274e+3 -0.176685e+1 -0.127149e+3  0.121317e+3  0.303488e-2  0.337407e+3  0.120002e+3 -0.120000e+3  0.580000e-2 -0.625000e+3    470.069   1230.610    0.12407    0.69702
Haro      1.3582     0.837924e+1    0.025         0.010       0.010 -0.223768e+3 -0.138928e+1 -0.728029e+3 -0.225798e+1 -0.110988e+3  0.103587e+3  0.300192e-2  0.405079e+3  0.163762e+3 -0.163760e+3  0.327572e-2 -0.141485e+4    510.312   1308.100    0.09395    0.68280
