# script and data used to create this table can be found at https://github.com/SluskyLab/FaMPAsymEz
MET	-0.0506	-0.0991	-0.1172	-0.0563	0.0524	0.1164	0.1008	0.0524	0.0179	-0.0297	-0.0344	-0.0384	-0.0411	-0.0416	-0.0396	-0.0354	-0.0295	-0.0229	-0.0167	-0.0115	-0.0074	-0.0044	-0.0025	-0.0013	-0.0006	-0.0002	-0.0001	-0.0000	-0.0000	-0.0000	nan	-0.0000	-0.0000	-0.0000	-0.0001	-0.0002	-0.0006	-0.0013	-0.0025	-0.0044	-0.0074	-0.0115	-0.0167	-0.0229	-0.0295	-0.0354	-0.0396	-0.0416	-0.0411	-0.0384	-0.0344	-0.0297	-0.0249	-0.0205	-0.0167	-0.0134	-0.0108	-0.0086	-0.0069	-0.0055	-0.0044
ASN	0.0003	0.0004	0.0005	0.0007	0.0010	0.0014	0.0021	0.0030	0.0045	0.0067	0.0101	0.0154	0.0237	0.0360	0.0535	0.0753	0.0962	0.1066	0.0983	0.0742	0.0464	0.0247	0.0114	0.0046	0.0016	0.0004	0.0001	0.0000	0.0000	0.0000	nan	0.0000	0.0000	0.0000	0.0001	0.0004	0.0016	0.0046	0.0114	0.0247	0.0464	0.0742	0.0983	0.1066	0.0962	0.0753	-0.1197	-0.1197	-0.0325	-0.0297	-0.0235	-0.0144	-0.0033	0.0083	0.0187	0.0267	0.0314	0.0327	0.0311	0.0273	0.0224
PRO	0.0176	0.0196	0.0219	0.0244	0.0270	0.0298	0.0326	0.0354	0.0381	0.0405	0.0425	0.0438	0.0443	0.0439	0.0425	0.0401	0.0368	0.0328	0.0283	0.0236	0.0190	0.0147	0.0108	0.0076	0.0050	0.0030	0.0016	0.0007	0.0002	0.0000	nan	-0.0006	-0.0027	-0.0060	-0.0106	-0.0162	-0.0225	-0.0290	-0.0351	-0.0405	-0.0446	-0.0473	-0.0486	-0.0484	-0.0471	-0.0450	-0.0422	-0.0390	-0.0357	-0.0324	-0.0293	-0.0263	-0.0235	-0.0210	-0.0187	-0.0167	-0.0148	-0.0132	-0.0118	-0.0106	-0.0094
GLN	0.0007	0.0009	0.0012	0.0015	0.0019	0.0025	0.0034	0.0045	0.0061	0.0084	0.0116	0.0161	0.0226	0.0318	0.0446	0.0616	0.0822	0.1038	0.1201	0.1233	0.1093	0.0828	0.0536	0.0298	0.0143	0.0058	0.0019	0.0004	0.0001	0.0000	nan	0.0000	0.0001	0.0004	0.0019	0.0058	0.0143	0.0298	0.0536	0.0828	0.1093	0.1233	0.1201	0.1038	0.0822	0.0616	0.0446	0.0318	0.0226	0.0161	0.0116	0.0084	0.0061	0.0045	0.0034	0.0025	0.0019	0.0015	0.0012	0.0009	0.0007
ARG	-0.0441	-0.0480	-0.0506	-0.0515	-0.0502	-0.0467	-0.0409	-0.0329	-0.0231	-0.0119	0.0000	0.0119	0.0231	0.0329	0.0409	0.0467	0.2607	0.2607	0.2607	0.2607	0.1653	0.1430	0.1052	0.0657	0.0349	0.0156	0.0057	0.0015	0.0002	0.0000	nan	0.0000	0.0002	0.0015	0.0057	0.0156	0.0349	0.0657	0.1052	0.1430	0.1653	0.1645	0.1448	0.1164	0.0882	0.0646	0.0465	0.0333	0.0239	0.0173	0.0126	0.0093	0.0069	0.0052	0.0040	0.0030	0.0024	0.0018	0.0014	0.0012	0.0009
SER	0.0003	0.0005	0.0006	0.0009	0.0012	0.0017	0.0024	0.0034	0.0049	0.0071	0.0101	0.0142	0.0192	0.0245	0.0286	0.0297	0.0269	0.0210	0.0144	0.0087	0.0047	0.0023	0.0010	0.0004	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	nan	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0004	0.0010	0.0023	0.0047	0.0087	0.0144	0.0210	0.0269	0.0297	0.0286	0.0245	0.0192	0.0142	0.0101	0.0071	0.0049	0.0034	0.0024	0.0017	0.0012	0.0009	0.0006	0.0005	0.0003
THR	0.0001	0.0001	0.0001	0.0002	0.0003	0.0004	0.0005	0.0008	0.0011	0.0015	0.0021	0.0029	0.0038	0.0045	0.0050	0.0048	0.0041	0.0030	0.0020	0.0012	0.0006	0.0003	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	nan	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0003	0.0006	0.0012	0.0020	0.0030	0.0041	0.0048	0.0050	0.0045	0.0038	0.0029	0.0021	0.0015	0.0011	0.0008	0.0005	0.0004	0.0003	0.0002	0.0001	0.0001	0.0001
VAL	-0.0011	-0.0014	-0.0018	-0.0023	-0.0029	-0.0038	-0.0050	-0.0066	-0.0088	-0.0117	-0.0156	-0.0206	-0.0270	-0.0345	-0.0425	-0.0498	-0.0541	-0.0538	-0.0481	-0.0385	-0.0276	-0.0178	-0.0104	-0.0054	-0.0025	-0.0010	-0.0003	-0.0001	-0.0000	-0.0000	nan	-0.0000	-0.0000	-0.0001	-0.0003	-0.0010	-0.0025	-0.0054	-0.0104	-0.0178	-0.0276	-0.0385	-0.0481	-0.0538	-0.0541	-0.0498	-0.0425	-0.0345	-0.0270	-0.0206	-0.0156	-0.0117	-0.0088	-0.0066	-0.0050	-0.0038	-0.0029	-0.0023	-0.0018	-0.0014	-0.0011
TRP	-0.0009	-0.0017	-0.0031	-0.0055	-0.0093	-0.0148	-0.0226	-0.0329	-0.0453	-0.0591	-0.0729	-0.0845	-0.0916	-0.0919	-0.0837	-0.0666	-0.0419	-0.0120	0.0194	0.0484	0.0715	0.0865	0.0926	0.0905	0.0821	0.0697	0.0557	0.0421	0.0302	0.0206	-0.0263	-0.0343	-0.0433	-0.0527	-0.0617	-0.0694	-0.0748	-0.0768	-0.0745	-0.0675	-0.0558	-0.0399	-0.0208	0.0000	0.0208	0.0399	0.0558	0.0675	0.0745	0.0768	0.0748	0.0694	0.0617	0.0527	0.0433	0.0343	0.0263	0.0195	0.0140	0.0097	0.0065
TYR	-0.0036	-0.0061	-0.0097	-0.0149	-0.0217	-0.0301	-0.0397	-0.0497	-0.0589	-0.0656	-0.0682	-0.0654	-0.0565	-0.0416	-0.0221	0.0000	0.0221	0.0416	0.0565	0.0654	0.0682	0.0656	0.0589	0.0497	0.0397	0.0301	0.0217	0.0149	0.0097	0.0061	-0.0208	-0.0252	-0.0298	-0.0344	-0.0387	-0.0424	-0.0452	-0.0468	-0.0468	-0.0451	-0.0414	-0.0359	-0.0287	-0.0200	-0.0103	0.0000	0.0103	0.0200	0.0287	0.0359	0.0414	0.0451	0.0468	0.0468	0.0452	0.0424	0.0387	0.0344	0.0298	0.0252	0.0208
