VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

 -0.6385  0.5006  0.3214  1.1834  0.3368 -0.8466  0.1494 -0.7798 -0.2530 -0.1027 -0.2482  0.1259 -0.4158  0.6528  0.9073  0.3813  0.5230 -0.0488  0.0196  1.2451  0.1868 -0.4676  1.2014  0.4406 -0.5303  0.4163  0.6375 -0.0491 -1.0826 -0.1849 -0.2068
  0.4768 -1.1145 -0.1633  0.4791  0.9353  0.6467  0.7640 -0.1067 -1.0346 -0.1711  0.1720  0.2963  0.2525 -1.8633 -0.1346 -0.1178  0.8746  0.2193 -0.8515 -1.3171 -0.0671 -0.1782 -0.4508 -0.2014 -0.4541 -0.4115  0.1001 -0.1501 -0.7140 -0.2362 -0.4311
  0.8839  0.4448  0.5493  0.7352 -0.5319 -0.6436 -0.4501 -1.2552  0.4900 -0.3750 -0.6467 -0.9400  0.4364  0.0863 -0.0362  0.5230  0.2984 -1.4582 -0.5739  0.5364 -0.0399 -0.6548 -0.5267  0.6295  0.9275 -0.0753 -0.5874 -0.2995  0.5342  0.3277 -0.2037
