VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

  0.8505 -0.3849  0.3509 -0.4214  1.3280 -0.5819 -0.1012  0.1650  0.4760 -0.4451  0.0012 -0.3891  0.3006 -0.2707 -0.4865  0.1304 -0.3207 -0.9300 -0.2413 -0.2852 -0.0217  0.3300 -0.6505 -0.4986 -0.9938 -0.3415 -0.6838 -0.3002  0.4657 -0.6520  0.3895
 -0.5724 -1.6633  0.5402 -0.1811  0.9997  0.6645  0.5172 -0.5242 -0.5458 -0.5678 -0.8957 -0.5437  0.3380 -0.2154  0.1711  0.7232 -0.3683 -0.6226  0.4784 -0.2873 -0.1840  0.5017 -0.1803 -0.6076 -0.3676 -0.6391 -0.6968  0.1503  0.4590  0.8226  0.6805
 -0.4633 -0.4335  0.7689 -0.2653 -0.5170 -0.1138  0.6449 -1.0230  0.3310  0.1483  0.1280 -0.1131  0.3454 -0.3278  0.7477  0.4273 -0.6103  0.5678  0.9382  0.4068  1.3571 -0.9724 -0.3349  0.5015  0.4408  0.0140 -0.0054  0.9885  0.1578 -0.7779 -0.3599
